id,name,FY2024 amount,amount_num,level_1,level_2,level_3
Capital Improvements / City - Bonds / Streets,Streets,"$3,500,000",3500000,Capital Improvements,City - Bonds,
Capital Improvements / City - Bonds / Drainage,Drainage,$0,0,Capital Improvements,City - Bonds,
Capital Improvements / City - Bonds / Sidewalks,Sidewalks,$0,0,Capital Improvements,City - Bonds,
Capital Improvements / City - Bonds / Public Buildings,Public Buildings,$0,0,Capital Improvements,City - Bonds,
Capital Improvements / City - Bonds / Recreation/Parks,Recreation/Parks,"$2,000,000",2000000,Capital Improvements,City - Bonds,
Capital Improvements / City - Cash / Administrative/Program Costs,Administrative/Program Costs,"$16,239,817",16239817,Capital Improvements,City - Cash,
Capital Improvements / City - Cash / Normal Capital and Reserves,Normal Capital and Reserves,"$30,660,714",30660714,Capital Improvements,City - Cash,
Capital Improvements / City - Cash / Streets,Streets,"$11,670,285",11670285,Capital Improvements,City - Cash,
Capital Improvements / City - Cash / Drainage,Drainage,"$3,692,000",3692000,Capital Improvements,City - Cash,
Capital Improvements / City - Cash / Sidewalks,Sidewalks,"$95,000",95000,Capital Improvements,City - Cash,
Capital Improvements / City - Cash / Public Buildings,Public Buildings,"$1,020,000",1020000,Capital Improvements,City - Cash,
Capital Improvements / City - Cash / Recreation/Parks,Recreation/Parks,"$635,000",635000,Capital Improvements,City - Cash,
Capital Improvements / Parish - Cash / Widening/Realignment/Reconstruction,Widening/Realignment/Reconstruction,"$3,424,506",3424506,Capital Improvements,Parish - Cash,
Capital Improvements / Parish - Cash / Bridges,Bridges,"$3,900,000",3900000,Capital Improvements,Parish - Cash,
Capital Improvements / Parish - Cash / Drainage,Drainage,"$2,569,323",2569323,Capital Improvements,Parish - Cash,
Capital Improvements / Parish - Cash / Public Buildings,Public Buildings,"$1,400,000",1400000,Capital Improvements,Parish - Cash,
Community / Parks & Recreation / Director's Office,Director's Office,"$831,296",831296,Community,Parks & Recreation,
Community / Parks & Recreation / Operations & Maintenance,Operations & Maintenance,"$4,211,623",4211623,Community,Parks & Recreation,
Community / Parks & Recreation / Athletic Programs / Other Programs,Other Programs,"$549,360",549360,Community,Parks & Recreation,Athletic Programs
Community / Parks & Recreation / Athletic Programs / Swimming,Swimming,"$60,208",60208,Community,Parks & Recreation,Athletic Programs
Community / Parks & Recreation / Athletic Programs / Tennis,Tennis,"$43,325",43325,Community,Parks & Recreation,Athletic Programs
Community / Parks & Recreation / Athletic Programs / Therapeutic Recreation,Therapeutic Recreation,"$17,224",17224,Community,Parks & Recreation,Athletic Programs
